id,plan_input_id,outcome_status,actual_start,actual_end,active_minutes,completion_ratio,interruption_count,stopped_early,user_note,recorded_at
974bbdae-7920-5a02-a026-b319cc5ed441,fc76225c-c371-58d9-8368-c9b78a5af154,partial,2025-01-01T11:09:00+00:00,2025-01-01T11:49:00+00:00,40,0.67253,3,True,Synthetic training example.,2025-01-01T14:10:00+00:00
40430b3c-6e68-524a-895f-fc57de616ebb,ae8ccea0-dc8e-5d60-811f-1679d7592a10,completed,2025-01-01T20:04:00+00:00,2025-01-01T20:53:00+00:00,49,0.83137,3,False,Synthetic training example.,2025-01-01T22:53:00+00:00
ab7da0cc-35fa-5000-84ca-ffe611857b4a,2b2bd489-7caa-59e0-bbe0-83cc8cee9f16,completed,2025-01-02T03:04:00+00:00,2025-01-02T03:45:00+00:00,41,0.92593,2,False,Synthetic training example.,2025-01-02T06:39:00+00:00
a70b19c8-57a0-5d0a-8d2e-30bec1fbdfce,52778d95-9566-5665-8acd-7aed7cd8d20c,completed,2025-01-02T13:14:00+00:00,2025-01-02T13:41:00+00:00,27,0.92858,0,False,Synthetic training example.,2025-01-02T14:12:00+00:00
30ca621c-d4a2-5755-bc39-a8e73c70817b,721ac184-76df-52bd-b499-d23d9455a1ce,partial,2025-01-02T20:05:00+00:00,2025-01-02T20:23:00+00:00,18,0.62124,3,True,Synthetic training example.,2025-01-02T21:55:00+00:00
1baeb60d-416a-5a97-b48e-3ed69e6c7d2c,9b0ae39e-8b15-5b2d-b479-9b9f1e6ea61c,completed,2025-01-03T06:08:00+00:00,2025-01-03T06:26:00+00:00,18,0.93417,0,False,Synthetic training example.,2025-01-03T07:10:00+00:00
0d8fb801-3b1e-54e7-b0e9-f1f45ba963a2,a950ce68-c953-5059-97da-f7ec67d45347,completed,2025-01-03T17:13:00+00:00,2025-01-03T17:52:00+00:00,39,0.8751,3,False,Synthetic training example.,2025-01-03T20:21:00+00:00
220eb623-3e9d-578e-86eb-04baae2fc9f4,47f97eee-da8d-502e-b46e-133d4b56c9c0,partial,2025-01-04T00:15:00+00:00,2025-01-04T01:04:00+00:00,49,0.41469,0,True,Synthetic training example.,2025-01-04T02:30:00+00:00
d679908c-df43-52ab-8599-565084bc049b,87a90599-4bb2-5173-a0da-65d4fe5b5995,abandoned,2025-01-04T11:19:00+00:00,2025-01-04T11:43:00+00:00,0,0.0,3,True,Synthetic training example.,2025-01-04T14:02:00+00:00
05c70077-2ca3-55e1-a292-3b31f9d46a9c,7cc9775f-ff27-55b6-a515-27afc23d46d8,completed,2025-01-04T17:14:00+00:00,2025-01-04T19:13:00+00:00,119,0.99776,3,False,Synthetic training example.,2025-01-04T20:01:00+00:00
44fc2f1c-5339-511b-975a-e592f0ab68c2,12a479a3-1b2d-5af6-8a16-97e2094e12a3,partial,2025-01-05T04:08:00+00:00,2025-01-05T04:40:00+00:00,32,0.71621,2,True,Synthetic training example.,2025-01-05T06:13:00+00:00
44be7cdf-5403-5e93-aea8-7c8af229f6f8,260f5779-f782-5ea1-981c-9c93556df97d,completed,2025-01-05T11:14:00+00:00,2025-01-05T11:53:00+00:00,39,0.87808,1,False,Synthetic training example.,2025-01-05T12:31:00+00:00
71ae2ab9-be9b-5944-90f2-252664519759,1f5aff25-b221-54ea-968d-958a0050dfce,partial,2025-01-05T22:16:00+00:00,2025-01-05T22:38:00+00:00,22,0.37342,1,True,Synthetic training example.,2025-01-05T22:56:00+00:00
594d9e24-a0e1-508f-b28c-84f48fa03c58,332ae226-bc01-5fe3-ac6d-60dae3b10fef,completed,2025-01-06T05:15:00+00:00,2025-01-06T06:11:00+00:00,56,0.94767,0,False,Synthetic training example.,2025-01-06T07:00:00+00:00
46eb0420-4aaa-5ff4-9435-9c714812b2ad,c0b9bcc5-3f1e-5e93-9038-705f7b89843f,completed,2025-01-06T15:11:00+00:00,2025-01-06T15:28:00+00:00,17,0.89467,3,False,Synthetic training example.,2025-01-06T16:50:00+00:00
9315562c-7bcd-5fcc-a477-a260a45c904c,da2655c0-7136-5109-989e-97e1af8bca83,completed,2025-01-07T00:11:00+00:00,2025-01-07T01:05:00+00:00,54,0.90093,3,False,Synthetic training example.,2025-01-07T01:06:00+00:00
f086674d-18a5-59e2-9f86-6b86425ab831,d5e40b8d-4a19-5647-9883-d7d70c42af04,completed,2025-01-07T08:13:00+00:00,2025-01-07T08:50:00+00:00,37,0.84433,0,False,Synthetic training example.,2025-01-07T11:15:00+00:00
a8d2e0a9-f32e-5267-9572-0ae8f722f926,b76549a3-ca3f-5f60-8a50-c4ca4a1929d1,partial,2025-01-07T19:02:00+00:00,2025-01-07T19:59:00+00:00,57,0.63864,0,True,Synthetic training example.,2025-01-07T22:16:00+00:00
8338c1c7-905c-5630-bda1-0624e6486bd3,6b9c998c-772c-5a64-a4a4-ee1ca1fbeb14,completed,2025-01-08T05:12:00+00:00,2025-01-08T06:07:00+00:00,55,0.93175,3,False,Synthetic training example.,2025-01-08T06:13:00+00:00
2ab0cd81-bca4-504d-809a-3143e66152df,fbe35cf0-7e1b-58e0-b8b4-336c40b4036a,completed,2025-01-08T11:19:00+00:00,2025-01-08T11:43:00+00:00,24,0.83081,1,False,Synthetic training example.,2025-01-08T11:22:00+00:00
fa0ad159-4c79-54a2-85e2-6654fbbaad88,7cda2a8b-4648-503f-a092-2cdcffd2c13c,completed,2025-01-08T23:02:00+00:00,2025-01-08T23:56:00+00:00,54,0.90407,2,False,Synthetic training example.,2025-01-09T02:25:00+00:00
5bf2d62b-48af-5113-acf8-6da568fbef31,ef99f5d5-19cf-5869-91bb-32313ead3d95,partial,2025-01-09T08:13:00+00:00,2025-01-09T08:52:00+00:00,39,0.43591,1,True,Synthetic training example.,2025-01-09T10:42:00+00:00
15ecb6fc-b90f-5cb6-a8de-695c5dba6301,4edef4e4-9139-5a6a-9989-69d88a074bf3,completed,2025-01-09T15:10:00+00:00,2025-01-09T15:26:00+00:00,16,0.82051,0,False,Synthetic training example.,2025-01-09T15:47:00+00:00
d5afd368-7590-5ffe-b847-25d8bd358803,9273f447-dc71-51ee-a3f4-04848a491d4f,abandoned,2025-01-10T00:05:00+00:00,2025-01-10T00:29:00+00:00,0,0.0,3,True,Synthetic training example.,2025-01-10T00:18:00+00:00
cb063365-2c71-5c23-96b3-f31344ad71b2,efc727cd-0ec5-5a25-89ff-68c952dc903e,completed,2025-01-10T09:15:00+00:00,2025-01-10T11:02:00+00:00,107,0.89811,1,False,Synthetic training example.,2025-01-10T12:27:00+00:00
e11517f8-7062-5535-b615-c83abc35a3ad,a51a4be0-493d-5409-8ca3-a0fda119cee6,completed,2025-01-10T17:01:00+00:00,2025-01-10T17:27:00+00:00,26,0.89433,1,False,Synthetic training example.,2025-01-10T20:56:00+00:00
6945120d-f841-5250-a8a5-807023bcb281,0aa3f6bc-bf3b-56ab-8f84-9f210688f9a5,abandoned,2025-01-11T02:08:00+00:00,2025-01-11T02:26:00+00:00,0,0.0,3,True,Synthetic training example.,2025-01-11T03:10:00+00:00
bf3cd0b2-c567-5b60-a885-945d6d044f6e,31ae5378-8385-5e20-a061-c9f4c7775999,completed,2025-01-11T14:16:00+00:00,2025-01-11T15:27:00+00:00,71,0.95971,1,False,Synthetic training example.,2025-01-11T15:20:00+00:00
0e34255d-8a91-5301-af65-84a046f434b6,70fbfb83-c6e9-5119-9368-61e93c0004cd,partial,2025-01-11T20:12:00+00:00,2025-01-11T20:45:00+00:00,33,0.44466,1,True,Synthetic training example.,2025-01-11T20:49:00+00:00
d4e334cc-fd4b-5432-a1cc-982205715e11,e6f75676-5db2-5232-aaf4-568c317c8c17,completed,2025-01-12T07:18:00+00:00,2025-01-12T08:16:00+00:00,58,0.97117,1,False,Synthetic training example.,2025-01-12T07:49:00+00:00
8a9be826-e48e-57da-8149-0d2ebcdb13f4,0abe9f9f-2db0-5a46-a4ba-80e8a1a38512,completed,2025-01-12T17:06:00+00:00,2025-01-12T17:56:00+00:00,50,0.84022,3,False,Synthetic training example.,2025-01-12T20:16:00+00:00
0a16dd73-9bff-52ff-8e31-c3aa8f76d462,8745bb3b-daae-5d94-a9fa-da3321642828,partial,2025-01-13T02:18:00+00:00,2025-01-13T02:33:00+00:00,15,0.51004,2,True,Synthetic training example.,2025-01-13T02:40:00+00:00
d6f16079-4c2e-5f95-8060-39852425a203,b217b249-8fb6-50a1-b20b-b8cbeb62b9e2,partial,2025-01-13T10:02:00+00:00,2025-01-13T10:31:00+00:00,29,0.38668,2,True,Synthetic training example.,2025-01-13T12:55:00+00:00
65c8cb85-c3fb-5aba-a8cd-867febb7f25b,0e8a8e55-7515-57f0-a7ed-255575576e94,completed,2025-01-13T20:14:00+00:00,2025-01-13T21:05:00+00:00,51,0.86114,2,False,Synthetic training example.,2025-01-13T23:43:00+00:00
7676e21c-704c-5378-b91c-5e608e4425ff,ed0c241a-3a5a-5ca4-b533-f68cf4928f22,completed,2025-01-14T05:03:00+00:00,2025-01-14T05:57:00+00:00,54,0.90247,1,False,Synthetic training example.,2025-01-14T06:59:00+00:00
37177556-cd31-5ec1-9557-4ac4cb551b5c,94dfa236-3d6e-52a4-a366-e71be0db6f26,partial,2025-01-14T11:15:00+00:00,2025-01-14T11:42:00+00:00,27,0.37283,1,True,Synthetic training example.,2025-01-14T13:49:00+00:00
3787a04f-d7c4-55b7-8e56-09c44cb206ee,d4957a50-563a-53bb-84bd-60943d5ef487,completed,2025-01-14T22:13:00+00:00,2025-01-14T22:29:00+00:00,16,0.83696,0,False,Synthetic training example.,2025-01-15T01:59:00+00:00
1c676e17-a25c-5d24-8e9a-4348418ba989,23cc3e9e-d2b5-5d71-a87c-4f29132f6311,partial,2025-01-15T07:19:00+00:00,2025-01-15T07:52:00+00:00,33,0.7409,3,True,Synthetic training example.,2025-01-15T08:22:00+00:00
ebc5b2aa-a8be-5872-8cdc-f931613fd9f9,d6e151b6-e242-5d95-97a9-76cc4d53950b,completed,2025-01-15T16:16:00+00:00,2025-01-15T17:42:00+00:00,86,0.96311,3,False,Synthetic training example.,2025-01-15T19:57:00+00:00
030b4df4-df81-5f0f-94d9-4363692401d6,4fc1e439-75a8-5d6d-b4f7-21302e3ad3d9,completed,2025-01-15T23:08:00+00:00,2025-01-15T23:50:00+00:00,42,0.93575,3,False,Synthetic training example.,2025-01-16T02:16:00+00:00
14783be1-9b81-52f1-b065-edc112cc9961,d73a4c8b-1b4f-582f-93b0-3e3128ad6624,completed,2025-01-16T11:04:00+00:00,2025-01-16T11:30:00+00:00,26,0.89919,1,False,Synthetic training example.,2025-01-16T13:07:00+00:00
6796d843-40f9-5d88-9dc1-e2e2891c6da4,c9d2f15d-97c7-523f-bd4a-ecd07ff1c0b6,completed,2025-01-16T20:07:00+00:00,2025-01-16T21:27:00+00:00,80,0.88899,2,False,Synthetic training example.,2025-01-16T23:42:00+00:00
83fa1c1e-434b-5df0-bebe-d2cf3d0091db,1f4b1f5a-d3d0-5ee3-a6aa-467021d9b016,partial,2025-01-17T04:18:00+00:00,2025-01-17T05:28:00+00:00,70,0.58623,1,True,Synthetic training example.,2025-01-17T06:21:00+00:00
d7677b52-bc87-5732-a326-7344d426b39b,92100250-de3a-56c6-9c1a-3aa48ba1ebf1,abandoned,2025-01-17T12:09:00+00:00,2025-01-17T12:15:00+00:00,0,0.0,2,True,Synthetic training example.,2025-01-17T14:23:00+00:00
8358d826-183b-5827-bb34-6d651151b86a,76e081f4-fd46-548d-b4d4-47c6ba06aeb3,completed,2025-01-17T21:04:00+00:00,2025-01-17T21:47:00+00:00,43,0.97686,1,False,Synthetic training example.,2025-01-17T23:16:00+00:00
e7ee8b6e-f6d2-5cd2-84c6-afdf31af76dd,14c01aca-38a2-57de-b854-5564e5f08459,completed,2025-01-18T07:11:00+00:00,2025-01-18T07:36:00+00:00,25,0.85977,1,False,Synthetic training example.,2025-01-18T10:36:00+00:00
cc6f85cd-61ec-5958-a51b-8588f9a057b3,4a686b7d-0419-59f1-9ab3-ca8acb72da27,partial,2025-01-18T16:10:00+00:00,2025-01-18T16:20:00+00:00,10,0.34958,0,True,Synthetic training example.,2025-01-18T18:58:00+00:00
d0ec8a4f-22fc-5298-9e69-fa542e3340eb,08df4258-5bfb-56dc-94cd-5ed1f237c7df,completed,2025-01-19T02:19:00+00:00,2025-01-19T03:02:00+00:00,43,0.9568,0,False,Synthetic training example.,2025-01-19T04:31:00+00:00
cf23d48e-92bf-5625-bca9-6540756e0d63,bf12f1ee-0371-510f-a62f-36db842ea3f0,completed,2025-01-19T11:04:00+00:00,2025-01-19T11:53:00+00:00,49,0.83033,1,False,Synthetic training example.,2025-01-19T12:50:00+00:00
