outcome_id,reason_code,is_primary,user_confirmed,created_at
974bbdae-7920-5a02-a026-b319cc5ed441,low_readiness,True,True,2025-01-01T14:12:00+00:00
974bbdae-7920-5a02-a026-b319cc5ed441,interruption,False,True,2025-01-01T14:13:00+00:00
30ca621c-d4a2-5755-bc39-a8e73c70817b,unexpected_event,True,True,2025-01-02T21:57:00+00:00
30ca621c-d4a2-5755-bc39-a8e73c70817b,interruption,False,True,2025-01-02T21:58:00+00:00
220eb623-3e9d-578e-86eb-04baae2fc9f4,other,True,True,2025-01-04T02:32:00+00:00
d679908c-df43-52ab-8599-565084bc049b,low_readiness,True,True,2025-01-04T14:04:00+00:00
d679908c-df43-52ab-8599-565084bc049b,interruption,False,True,2025-01-04T14:05:00+00:00
44fc2f1c-5339-511b-975a-e592f0ab68c2,low_readiness,True,True,2025-01-05T06:15:00+00:00
44fc2f1c-5339-511b-975a-e592f0ab68c2,interruption,False,True,2025-01-05T06:16:00+00:00
71ae2ab9-be9b-5944-90f2-252664519759,unclear_plan,True,True,2025-01-05T22:58:00+00:00
a8d2e0a9-f32e-5267-9572-0ae8f722f926,low_readiness,True,True,2025-01-07T22:18:00+00:00
5bf2d62b-48af-5113-acf8-6da568fbef31,low_readiness,True,True,2025-01-09T10:44:00+00:00
d5afd368-7590-5ffe-b847-25d8bd358803,schedule_overload,True,True,2025-01-10T00:20:00+00:00
d5afd368-7590-5ffe-b847-25d8bd358803,interruption,False,True,2025-01-10T00:21:00+00:00
6945120d-f841-5250-a8a5-807023bcb281,interruption,True,True,2025-01-11T03:12:00+00:00
0e34255d-8a91-5301-af65-84a046f434b6,task_too_difficult,True,True,2025-01-11T20:51:00+00:00
0a16dd73-9bff-52ff-8e31-c3aa8f76d462,task_too_difficult,True,True,2025-01-13T02:42:00+00:00
0a16dd73-9bff-52ff-8e31-c3aa8f76d462,interruption,False,True,2025-01-13T02:43:00+00:00
d6f16079-4c2e-5f95-8060-39852425a203,interruption,True,True,2025-01-13T12:57:00+00:00
37177556-cd31-5ec1-9557-4ac4cb551b5c,task_too_difficult,True,True,2025-01-14T13:51:00+00:00
37177556-cd31-5ec1-9557-4ac4cb551b5c,interruption,False,True,2025-01-14T13:52:00+00:00
1c676e17-a25c-5d24-8e9a-4348418ba989,interruption,True,True,2025-01-15T08:24:00+00:00
83fa1c1e-434b-5df0-bebe-d2cf3d0091db,underestimated_time,True,True,2025-01-17T06:23:00+00:00
d7677b52-bc87-5732-a326-7344d426b39b,task_too_difficult,True,True,2025-01-17T14:25:00+00:00
d7677b52-bc87-5732-a326-7344d426b39b,interruption,False,True,2025-01-17T14:26:00+00:00
cc6f85cd-61ec-5958-a51b-8588f9a057b3,task_too_difficult,True,True,2025-01-18T19:00:00+00:00
6ff0419a-83bf-5ca5-a5ca-2330b6064b30,task_too_difficult,True,True,2025-01-19T19:37:00+00:00
6ff0419a-83bf-5ca5-a5ca-2330b6064b30,interruption,False,True,2025-01-19T19:38:00+00:00
eb97e932-1dd5-5162-a9f9-7bacd637276f,low_readiness,True,True,2025-01-20T07:13:00+00:00
eb97e932-1dd5-5162-a9f9-7bacd637276f,interruption,False,True,2025-01-20T07:14:00+00:00
63c44961-3caf-57ff-9c97-0c3eeb1d29fd,interruption,True,True,2025-01-20T13:23:00+00:00
aeecb7c0-7d5b-5dc8-905d-e1cf6269caf4,low_readiness,True,True,2025-01-21T18:55:00+00:00
aeecb7c0-7d5b-5dc8-905d-e1cf6269caf4,interruption,False,True,2025-01-21T18:56:00+00:00
66eeb447-601f-5ef2-98f6-44052a295a7c,low_readiness,True,True,2025-01-23T04:45:00+00:00
66eeb447-601f-5ef2-98f6-44052a295a7c,interruption,False,True,2025-01-23T04:46:00+00:00
c424798a-ff88-50f9-8195-344856fd33b5,other,True,True,2025-01-24T08:44:00+00:00
